"#","ИД установе","Власништво","Округ","Општина","Назив установе","Подручје рада","Образовни профил","Трајање образовања","Језик наставе","Број одељења - први разред","Број комбинованих одељења - први разред","Број специјалних одељења - први разред","Број ученика - први разред","Број девојчица - први разред","Број ИОП-а 1 - први разред","Број ИОП-а 2 - први разред","Број ИОП-а 3 - први разред","Број одељења - други разред","Број комбинованих одељења - други разред","Број специјалних одељења - други разред","Број ученика - други разред","Број девојчица - други разред","Број ИОП-а 1 - други разред","Број ИОП-а 2 - други разред","Број ИОП-а 3 - други разред","Број одељења - трећи разред","Број комбинованих одељења - трећи разред","Број специјалних одељења - трећи разред","Број ученика - трећи разред","Број девојчица - трећи разред","Број ИОП-а 1 - трећи разред","Број ИОП-а 2 - трећи разред","Број ИОП-а 3 - трећи разред","Број одељења - четврти разред","Број комбинованих одељења - четврти разред","Број специјалних одељења - четврти разред","Број ученика - четврти разред","Број девојчица - четврти разред","Број ИОП-а 1 - четврти разред","Број ИОП-а 2 - четврти разред","Број ИОП-а 3 - четврти разред"
"1.","1322","Државно","Севернобачки управни округ","Бачка Топола","Пољопривредна школа","Пољопривреда, производња и прерада хране","Пољопривредни техничар","4","Мађарски језик","1","0","0","16","6","0","1","0","1","0","0","22","4","1","0","0","1","0","0","20","7","0","0","0","1","0","0","22","8","0","0","0"
"2.","1322","Државно","Севернобачки управни округ","Бачка Топола","Пољопривредна школа","Пољопривреда, производња и прерада хране","Ветеринарски техничар","4","Мађарски језик","1","0","0","26","16","0","0","0","1","0","0","17","9","0","0","0","1","0","0","14","12","0","0","0","1","0","0","20","9","1","0","0"
"3.","1322","Државно","Севернобачки управни округ","Бачка Топола","Пољопривредна школа","Пољопривреда, производња и прерада хране","Прехрамбени техничар","4","Мађарски језик","1","0","0","15","9","0","2","0","1","0","0","9","5","0","0","0","1","0","0","12","11","0","0","0","1","0","0","13","11","0","0","0"
"4.","1322","Државно","Севернобачки управни округ","Бачка Топола","Пољопривредна школа","Пољопривреда, производња и прерада хране","Руковалац - механичар пољопривредне технике","3","Мађарски језик","1","1","0","10","0","0","2","0","1","1","0","8","0","0","0","0","1","1","0","15","0","0","0","0","0","0","0","0","0","0","0","0"
"5.","1322","Државно","Севернобачки управни округ","Бачка Топола","Пољопривредна школа","Пољопривреда, производња и прерада хране","Месар","3","Мађарски језик","0","0","0","0","0","0","0","0","1","1","0","9","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6.","1322","Државно","Севернобачки управни округ","Бачка Топола","Пољопривредна школа","Пољопривреда, производња и прерада хране","Пекар","3","Мађарски језик","1","1","0","10","7","0","2","0","0","0","0","0","0","0","0","0","1","1","0","8","4","0","0","0","0","0","0","0","0","0","0","0"
"7.","1322","Државно","Севернобачки управни округ","Бачка Топола","Пољопривредна школа","Пољопривреда, производња и прерада хране","Пољопривредни техничар","4","Српски језик","1","0","0","13","3","0","1","0","1","0","0","18","8","0","0","0","1","0","0","18","6","0","0","0","0","0","0","0","0","0","0","0"
"8.","1322","Државно","Севернобачки управни округ","Бачка Топола","Пољопривредна школа","Пољопривреда, производња и прерада хране","Ветеринарски техничар","4","Српски језик","1","0","0","15","9","0","0","0","1","0","0","23","10","0","0","0","1","0","0","22","10","0","0","0","1","0","0","24","17","0","0","0"
"9.","1322","Државно","Севернобачки управни округ","Бачка Топола","Пољопривредна школа","Пољопривреда, производња и прерада хране","Руковалац - механичар пољопривредне технике","3","Српски језик","1","1","0","9","0","0","1","0","1","1","0","9","0","0","0","0","1","1","0","12","0","1","0","0","0","0","0","0","0","0","0","0"
"10.","1322","Државно","Севернобачки управни округ","Бачка Топола","Пољопривредна школа","Пољопривреда, производња и прерада хране","Пољопривредни техничар","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","20","4","0","0","0"
